# opusid, pds_location, start_time, obs_name
co-vims-v1516018255_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018255_1.qub, 2006-01-15T11:41:25.852, VIMS_020TI_SOLAROCC002
co-vims-v1516018263_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018263_1.qub, 2006-01-15T11:41:33.134, VIMS_020TI_SOLAROCC002
co-vims-v1516018270_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018270_1.qub, 2006-01-15T11:41:40.433, VIMS_020TI_SOLAROCC002
co-vims-v1516018277_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018277_1.qub, 2006-01-15T11:41:47.712, VIMS_020TI_SOLAROCC002
co-vims-v1516018284_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018284_1.qub, 2006-01-15T11:41:54.990, VIMS_020TI_SOLAROCC002
co-vims-v1516018292_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018292_1.qub, 2006-01-15T11:42:02.269, VIMS_020TI_SOLAROCC002
co-vims-v1516018299_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018299_1.qub, 2006-01-15T11:42:09.568, VIMS_020TI_SOLAROCC002
co-vims-v1516018306_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018306_1.qub, 2006-01-15T11:42:16.847, VIMS_020TI_SOLAROCC002
co-vims-v1516018314_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018314_1.qub, 2006-01-15T11:42:24.125, VIMS_020TI_SOLAROCC002
co-vims-v1516018321_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018321_1.qub, 2006-01-15T11:42:31.425, VIMS_020TI_SOLAROCC002
co-vims-v1516018328_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018328_1.qub, 2006-01-15T11:42:38.703, VIMS_020TI_SOLAROCC002
co-vims-v1516018335_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018335_1.qub, 2006-01-15T11:42:45.982, VIMS_020TI_SOLAROCC002
co-vims-v1516018343_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018343_1.qub, 2006-01-15T11:42:53.260, VIMS_020TI_SOLAROCC002
co-vims-v1516018350_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018350_1.qub, 2006-01-15T11:43:00.560, VIMS_020TI_SOLAROCC002
co-vims-v1516018357_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018357_1.qub, 2006-01-15T11:43:07.835, VIMS_020TI_SOLAROCC002
co-vims-v1516018365_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018365_1.qub, 2006-01-15T11:43:15.117, VIMS_020TI_SOLAROCC002
co-vims-v1516018372_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018372_1.qub, 2006-01-15T11:43:22.416, VIMS_020TI_SOLAROCC002
co-vims-v1516018379_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018379_1.qub, 2006-01-15T11:43:29.694, VIMS_020TI_SOLAROCC002
co-vims-v1516018386_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018386_1.qub, 2006-01-15T11:43:36.974, VIMS_020TI_SOLAROCC002
co-vims-v1516018394_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018394_1.qub, 2006-01-15T11:43:44.252, VIMS_020TI_SOLAROCC002
co-vims-v1516018401_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018401_1.qub, 2006-01-15T11:43:51.551, VIMS_020TI_SOLAROCC002
co-vims-v1516018408_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018408_1.qub, 2006-01-15T11:43:58.829, VIMS_020TI_SOLAROCC002
co-vims-v1516018416_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018416_1.qub, 2006-01-15T11:44:06.108, VIMS_020TI_SOLAROCC002
co-vims-v1516018423_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018423_1.qub, 2006-01-15T11:44:13.407, VIMS_020TI_SOLAROCC002
co-vims-v1516018430_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018430_1.qub, 2006-01-15T11:44:20.686, VIMS_020TI_SOLAROCC002
co-vims-v1516018437_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018437_1.qub, 2006-01-15T11:44:27.964, VIMS_020TI_SOLAROCC002
co-vims-v1516018445_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018445_1.qub, 2006-01-15T11:44:35.240, VIMS_020TI_SOLAROCC002
co-vims-v1516018452_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018452_1.qub, 2006-01-15T11:44:42.545, VIMS_020TI_SOLAROCC002
co-vims-v1516018459_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018459_1.qub, 2006-01-15T11:44:49.821, VIMS_020TI_SOLAROCC002
co-vims-v1516018467_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018467_1.qub, 2006-01-15T11:44:57.099, VIMS_020TI_SOLAROCC002
co-vims-v1516018474_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018474_1.qub, 2006-01-15T11:45:04.378, VIMS_020TI_SOLAROCC002
co-vims-v1516018481_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018481_1.qub, 2006-01-15T11:45:11.677, VIMS_020TI_SOLAROCC002
co-vims-v1516018488_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018488_1.qub, 2006-01-15T11:45:18.956, VIMS_020TI_SOLAROCC002
co-vims-v1516018496_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018496_1.qub, 2006-01-15T11:45:26.235, VIMS_020TI_SOLAROCC002
co-vims-v1516018503_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018503_1.qub, 2006-01-15T11:45:33.534, VIMS_020TI_SOLAROCC002
co-vims-v1516018510_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018510_1.qub, 2006-01-15T11:45:40.813, VIMS_020TI_SOLAROCC002
co-vims-v1516018518_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018518_1.qub, 2006-01-15T11:45:48.091, VIMS_020TI_SOLAROCC002
co-vims-v1516018525_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018525_1.qub, 2006-01-15T11:45:55.370, VIMS_020TI_SOLAROCC002
co-vims-v1516018532_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018532_1.qub, 2006-01-15T11:46:02.671, VIMS_020TI_SOLAROCC002
co-vims-v1516018539_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018539_1.qub, 2006-01-15T11:46:09.948, VIMS_020TI_SOLAROCC002
co-vims-v1516018547_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018547_1.qub, 2006-01-15T11:46:17.226, VIMS_020TI_SOLAROCC002
co-vims-v1516018554_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018554_1.qub, 2006-01-15T11:46:24.528, VIMS_020TI_SOLAROCC002
co-vims-v1516018561_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018561_1.qub, 2006-01-15T11:46:31.803, VIMS_020TI_SOLAROCC002
co-vims-v1516018569_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018569_1.qub, 2006-01-15T11:46:39.083, VIMS_020TI_SOLAROCC002
co-vims-v1516018576_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018576_1.qub, 2006-01-15T11:46:46.360, VIMS_020TI_SOLAROCC002
co-vims-v1516018583_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018583_1.qub, 2006-01-15T11:46:53.660, VIMS_020TI_SOLAROCC002
co-vims-v1516018590_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018590_1.qub, 2006-01-15T11:47:00.938, VIMS_020TI_SOLAROCC002
co-vims-v1516018598_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018598_1.qub, 2006-01-15T11:47:08.217, VIMS_020TI_SOLAROCC002
co-vims-v1516018605_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018605_1.qub, 2006-01-15T11:47:15.520, VIMS_020TI_SOLAROCC002
co-vims-v1516018612_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018612_1.qub, 2006-01-15T11:47:22.795, VIMS_020TI_SOLAROCC002
co-vims-v1516018620_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018620_1.qub, 2006-01-15T11:47:30.074, VIMS_020TI_SOLAROCC002
co-vims-v1516018627_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018627_1.qub, 2006-01-15T11:47:37.352, VIMS_020TI_SOLAROCC002
co-vims-v1516018634_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018634_1.qub, 2006-01-15T11:47:44.655, VIMS_020TI_SOLAROCC002
co-vims-v1516018641_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018641_1.qub, 2006-01-15T11:47:51.930, VIMS_020TI_SOLAROCC002
co-vims-v1516018649_ir, COVIMS_0010/data/2006015T114027_2006015T114806/v1516018649_1.qub, 2006-01-15T11:47:59.209, VIMS_020TI_SOLAROCC002
co-vims-v1516018656_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018656_1.qub, 2006-01-15T11:48:06.511, VIMS_020TI_SOLAROCC002
co-vims-v1516018663_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018663_1.qub, 2006-01-15T11:48:13.787, VIMS_020TI_SOLAROCC002
co-vims-v1516018671_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018671_1.qub, 2006-01-15T11:48:21.065, VIMS_020TI_SOLAROCC002
co-vims-v1516018678_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018678_1.qub, 2006-01-15T11:48:28.344, VIMS_020TI_SOLAROCC002
co-vims-v1516018685_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018685_1.qub, 2006-01-15T11:48:35.642, VIMS_020TI_SOLAROCC002
co-vims-v1516018692_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018692_1.qub, 2006-01-15T11:48:42.924, VIMS_020TI_SOLAROCC002
co-vims-v1516018700_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018700_1.qub, 2006-01-15T11:48:50.200, VIMS_020TI_SOLAROCC002
co-vims-v1516018707_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018707_1.qub, 2006-01-15T11:48:57.502, VIMS_020TI_SOLAROCC002
co-vims-v1516018714_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018714_1.qub, 2006-01-15T11:49:04.777, VIMS_020TI_SOLAROCC002
co-vims-v1516018721_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018721_1.qub, 2006-01-15T11:49:12.057, VIMS_020TI_SOLAROCC002
co-vims-v1516018729_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018729_1.qub, 2006-01-15T11:49:19.336, VIMS_020TI_SOLAROCC002
