# opusid, pds_location, start_time, obs_name
co-vims-v1694460084_ir, COVIMS_0048/data/2011254T183608_2011254T235758/v1694460084_1.qub, 2011-09-11T18:31:48.769, VIMS_153TI_MIRLMBMAP001
co-vims-v1694460084_vis, COVIMS_0048/data/2011254T183608_2011254T235758/v1694460084_1.qub, 2011-09-11T18:31:48.769, VIMS_153TI_MIRLMBMAP001
co-vims-v1694462404_ir, COVIMS_0048/data/2011254T183608_2011254T235758/v1694462404_1.qub, 2011-09-11T19:10:28.751, VIMS_153TI_MIRLMBMAP001
co-vims-v1694462404_vis, COVIMS_0048/data/2011254T183608_2011254T235758/v1694462404_1.qub, 2011-09-11T19:10:28.751, VIMS_153TI_MIRLMBMAP001
co-vims-v1694465064_ir, COVIMS_0048/data/2011254T183608_2011254T235758/v1694465064_1.qub, 2011-09-11T19:54:48.734, VIMS_153TI_MIRLMBMAP001
co-vims-v1694465064_vis, COVIMS_0048/data/2011254T183608_2011254T235758/v1694465064_1.qub, 2011-09-11T19:54:48.734, VIMS_153TI_MIRLMBMAP001
co-vims-v1694467804_ir, COVIMS_0048/data/2011254T183608_2011254T235758/v1694467804_1.qub, 2011-09-11T20:40:28.717, VIMS_153TI_MIRLMBMAP001
co-vims-v1694467804_vis, COVIMS_0048/data/2011254T183608_2011254T235758/v1694467804_1.qub, 2011-09-11T20:40:28.717, VIMS_153TI_MIRLMBMAP001
co-vims-v1694470464_ir, COVIMS_0048/data/2011254T183608_2011254T235758/v1694470464_1.qub, 2011-09-11T21:24:48.700, VIMS_153TI_MIRLMBMAP001
co-vims-v1694470464_vis, COVIMS_0048/data/2011254T183608_2011254T235758/v1694470464_1.qub, 2011-09-11T21:24:48.700, VIMS_153TI_MIRLMBMAP001
